Title,Publisher,Field of Research,Rating,ISSN,ISSN Online,Website,h5-index,h5-median
System,,2004,A*,0346-251X,,,79,113
Digital Journalism,,2004,A*,2167-0811,,,69,105
"Media, Culture & Society",,2004,A*,0163-4437,,,59,93
Synthese,,2004,A*,0039-7857,,,59,78
Journalism,,2004,A*,1464-8849,,,58,89
International Journal of Communication,,2004,A,1932-8036,,,55,74
Journalism Studies,,2004,A,1461-670X,,,52,75
Journalism Practice,,2004,A,1751-2786,,,52,72
Journal of Multilingual and Multicultural Development,,2004,A,0143-4632,,,52,70
The International Journal of Press/Politics,,2004,A,1940-1612,,,51,99
Political Communication,,2004,A,1058-4609 ,,,51,95
Religions,,2004,A,2077-1444,,,50,64
Studies in Second Language Acquisition,,2004,A,0272-2631,,,49,95
RELC Journal,,2004,A,0033-6882,,,49,80
Language Teaching,,2004,A,0261-4448 ,,,47,77
TESOL Quarterly,,2004,A, 0039-8322,,,47,72
Dialogues in Human Geography,,2004,A,2043-8206,,,46,87
Journal of Pragmatics,,2004,A,0378-2166,,,46,54
Feminist Media Studies,,2004,A,1468-0777,,,45,79
Games and Culture,,2004,A,1555-4120,,,45,72